State,numberofrecords,numberofbreaches
,5229249.0,30
Alabama,637247.0,45
Alaska,816.0,12
Argentina,0.0,1
Arizona,207875.0,69
Arkansas,10800.0,31
Beijing,0.0,1
Berlin,0.0,1
British Columbia,0.0,3
Buckinghamshire,0.0,2
California,8477512.0,756
Cheshire,0.0,1
Colorado,57147.0,76
Connecticut,1595326.0,58
Delaware,1600000.0,9
District Of Columbia,76138641.0,53
Dublin,0.0,1
Florida,4098673.0,212
Georgia,3745161.0,111
Grand Bahama,0.0,1
Guangdong,0.0,1
Hawaii,170000.0,10
Idaho,0.0,10
Illinois,402861.0,153
Indiana,1329792.0,96
Iowa,33789.0,35
Kansas,12200.0,31
Kentucky,77389.0,62
London,0.0,1
Louisiana,416.0,28
Maine,4585.0,14
Maryland,264181.0,284
Massachusetts,274151.0,102
Michigan,53034.0,69
Minnesota,474270.0,78
Mississippi,1814.0,21
Missouri,1716065.0,70
Montana,0.0,14
Nebraska,3000.0,12
Nevada,135551.0,30
New Hampshire,246870.0,20
New Jersey,316171.0,68
New Mexico,15580.0,24
New York,3631837.0,266
North Carolina,352208.0,88
North Dakota,0.0,5
Ohio,843534.0,118
Oklahoma,239674.0,35
Ontario,0.0,7
Oregon,433341.0,63
Pennsylvania,277794.0,136
Puerto Rico,1691.0,12
Quebec,0.0,3
Rhode Island,79962.0,21
South Carolina,416789.0,32
South Dakota,0.0,7
Tennessee,886702.0,85
Texas,360439.0,292
Tokyo,0.0,1
Utah,1591400.0,32
Vermont,0.0,7
Virginia,542902.0,89
Washington,57859.0,104
West Virginia,27218.0,8
Wisconsin,383633.0,55
Wyoming,14000.0,8
